OneGoal ID,Selectivity,College/University,Recommended Institution,Grad Rate Quartile,Website,Opportunity Programs,City,State,Region,Sector,Locale,Size,% Pell Grant,% African American,% Hispanic,% In State,HBCU,Hispanic Serving Institution,On Campus Housing?,6 Year Grad Rate (Overall),6 Year Grad Rate (Minority),Grad Rate Quartile,Net Price: 0-30,Median Debt of Graduates,Median Salary After Attending,Percent Earning Over HS Grad,CUNY/SUNY
13278,Two-Year College,ASA Institute of Business & Computer Technology,,Q2 (TOP 25 - 50%),www.asa.edu,,Brooklyn,NY,New York,Private for-profit,City,"Small (1,000-5,000)",75,28,35,70,,,Yes,27,32,Q2 (TOP 25 - 50%),"$22,011 ","$13,895 ",,,
13262,Two-Year College,Bryant & Stratton College at Syracuse,,Q2 (TOP 25 - 50%),www.bryantstratton.edu,,Syracuse,NY,New York,Private for-profit,City,"Very Small (<1,000)",79,26,9,90,,,Yes,23,29,Q2 (TOP 25 - 50%),"$14,211 ","$24,261 ","$38,300 ",71,
13271,Two-Year College,Mildred Elley,,Q2 (TOP 25 - 50%),www.mildred-elley.edu,,Albany,NY,New York,Private for-profit,City,"Very Small (<1,000)",94,32,10,99,,,No,28,29,Q2 (TOP 25 - 50%),"$15,528 ","$18,130 ","$33,000 ",64,
13317,Two-Year College,"ITT Technical Institute (Getzville, N.Y.)",,Q2 (TOP 25 - 50%),www.itt-tech.edu,,Getzville,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",90,31,3,100,,,No,39,29,Q2 (TOP 25 - 50%),"$22,694 ","$25,834 ","$26,500 ",53,
13266,Two-Year College,Elmira Business Institute Elmira,,Q2 (TOP 25 - 50%),www.ebi.edu,,Elmira,NY,New York,Private for-profit,City,"Very Small (<1,000)",97,7,3,100,,,No,24,26,Q2 (TOP 25 - 50%),"$23,902 ","$20,000 ","$11,300 ",32,
10668,Two-Year College,CUNY New York City College of Technology (2-Year),,Q2 (TOP 25 - 50%),www.citytech.cuny.edu,"ASAP
Bottom Line
SEEK",Brooklyn,NY,New York,Public,City,"Medium (5,000-15,000)",75,31,32,99,,Yes,No,23,25,Q2 (TOP 25 - 50%),"$5,824 ","$10,000 ","$22,300 ",44,CUNY
13282,Two-Year College,Bryant & Stratton College at Rochester,,Q2 (TOP 25 - 50%),www.bryantstratton.edu,,Rochester,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",91,29,8,100,,,No,34,25,Q2 (TOP 25 - 50%),"$13,689 ","$24,261 ","$46,800 ",78,
13297,Two-Year College,Bramson ORT College,,Q2 (TOP 25 - 50%),bramsonort.edu,,Forest Hills,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",60,12,10,100,,,No,41,23,Q2 (TOP 25 - 50%),"$13,933 ","$9,676 ","$54,800 ",84,
13300,Two-Year College,SUNY Columbia-Greene Community College,,Q2 (TOP 25 - 50%),www.sunycgcc.edu,,Hudson,NY,New York,Public,Rural,"Very Small (<1,000)",52,8,6,100,,,No,30,23,Q2 (TOP 25 - 50%),"$3,364 ","$10,000 ","$35,100 ",69,SUNY
13304,Two-Year College,SUNY Fulton-Montgomery Community College,,Q2 (TOP 25 - 50%),fmcc.edu,EOP,Johnstown,NY,New York,Public,Rural,"Small (1,000-5,000)",61,6,12,92,,,Yes,31,23,Q2 (TOP 25 - 50%),"$7,083 ","$12,559 ",,,SUNY
